Entry,Underlying,POS,Definition,SC,Etymology,Related,Examples,Usage,Notes,Sources
waak,,pc,and,,,,Nii numoxoomus waak noohum kxanuwak nxah amiimunzal.;My grandfather and my grandmother had three children,,,"When My Uncle Was Bewitched by Ethel Peters
 Dictionary"
loowaneewung,,pc,north,,,,,,,
weenaa,,pc,"almost, nearly",,,,,,,
shukw,,pc,"but, only",,,,,,,
nihlii,,pc,by oneself,,,,,,,
chii,,pc,don't,,,,,,,
mah,,pc,here! here it is! take it!,,,,,,,
aawiis,,pc,late,,,,Aawiis peew.;He came late.,,,
maash,,pc,"like, resembling",,,,,,,
keenj,,pc,long ago,,,,,,,
awuyee,,pc,might,,,,,,,
ayaskii,,pc,"must, have to",,,,,,,
wiixka,,pc,never,,,,,,,
kway,,pc,now,,,,,,,
yo,,pc,"OK, all right",,,,,,,
kehla,,pc,really,,,,,,,
aalund,,pc,some,,,,,,,
mayawii,,pc,"true, real",,,,,,,
teet,,pc,maybe,,,,"Ngushiipaandpa, teet ndawiilpiishi.;I have an itchy head, maybe I'm louse-y.;;Nzhawsi, teet ngatoopwi.;I'm weak, maybe I'm hungry.",,,
kiimii,,pc,secretly,,,,Kiimii mbiimohkwe.;I snuck a glance to the side.,,,
nal,,pc,"then, subsequently",,,,Nal waak ndalumusiin.;Then I left again.;;Nal wtulu- wiikwahmung =piinjiikwsiin.;Then he crawled inside the house.,,,
kaa,,pc,"do reluctantly, I guess I'll do (something)",,,,Shaaxkii kaa numawkawi.;I guess I'll go to bed.;;Kaa mbumsi.;I'll walk (rather than riding).,,,
iiyaach,,pc,"still, yet",,,,Iiyaach ndalohke.;I'm still working.;;Iiyaach kush'si.;You're still sweating.,,,
tali,,pc,"here, there, in a certain place",,,,Mohkamuyuw tali mbiing.;It's icy in the water.;;Chiipayal neeweew kushtung tali.;He saw ghosts in a coffin.,,,
anushiik,,pc,thank you,,,,,,,
